macula_id	gloss
o010020120012	the.gold
o010020120021	of
o010020120022	the.land
o010020120031	(the)
o010020120032	that
o010020120041	[is].good
o010020120051	[are].there
o010020120061	(the)
o010020120062	bdellium
o010020120071	and.(the)
o010020120072	stone
o010020120081	of.(the)
o010020120082	onyx
o010020130011	and
o010020130012	the.name
o010020130021	of
o010020130022	the.river
o010020130031	(the)
o010020130032	second
o010020130041	[is].Gihon
o010020130051	it
o010020130061	[is].the
o010020130062	[one.which].goes.around
o010020130071	(et)
o010020130081	all
o010020130091	the.land
o010020130101	of.Cush
o010020140011	and
o010020140012	the.name
o010020140021	of
o010020140022	the.river
o010020140031	(the)
o010020140032	third
o010020140041	[is].Tigris
o010020140051	it
o010020140061	[is].the
o010020140062	[one.which].goes
o010020140071	the.east
o010020140081	of.Assyria
o010020140091	and
o010020140092	the
o010020140093	river
o010020140101	(the)
o010020140102	fourth
o010020140111	it
o010020140121	[is.the].Euphrates
o010020150011	and
o010020150012	he.took
o010020150021	Yahweh
o010020150031	God
o010020150041	(et)
o010020150051	the
o010020150052	man
o010020150061	and
o010020150062	he
o010020150063	put.him
o010020150071	in
o010020150072	the.garden
o010020150081	of.Eden
o010020150091	to
o010020150092	till
o010020150093	it
o010020150101	and
o010020150102	to
o010020150103	keep
o010020150104	it
o010020160011	and
o010020160012	he.commanded
o010020160021	Yahweh
o010020160031	God
o010020160041	to
o010020160051	the
o010020160052	man
o010020160061	(cmp)
o010020160062	
o010020160071	from
o010020160072	any
o010020160081	(the).tree
o010020160091	of
o010020160092	the.garden
o010020160101	freely.(eat)
o010020160111	you.will.eat
o010020170011	and
o010020170012	from
o010020170013	the.tree
o010020170021	of
o010020170022	the.knowledge
o010020170031	good
o010020170041	and
o010020170042	evil
o010020170051	not
o010020170061	you.must.eat
o010020170071	from
o010020170072	it
o010020170081	(dm)
o010020170091	on
o010020170092	the.day
o010020170101	eat
o010020170102	you
o010020170111	from
o010020170112	it
o010020170121	surely.(die)
o010020170131	you.will.die
o010020180011	and
o010020180012	he.said
o010020180021	Yahweh
o010020180031	God
o010020180041	not
o010020180051	[is].good
o010020180061	to.be
o010020180071	the
o010020180072	man
o010020180081	him
o010020180082	
o010020180083	alone
o010020180091	I.will.make
o010020180101	for
o010020180102	him
o010020180111	a.helper
o010020180121	like
o010020180122	before
o010020180123	him
o010020190011	and
o010020190012	he.formed
o010020190021	Yahweh
o010020190031	God
o010020190041	from
o010020190051	the
o010020190052	ground
o010020190061	every
o010020190071	(the).animal
o010020190081	of
o010020190082	the.field
o010020190091	and
o010020190092	(et)
o010020190101	every
o010020190111	(the).bird
o010020190121	of
o010020190122	the.heavens
o010020190131	and
o010020190132	he.brought.[them]
o010020190141	to
o010020190151	the
o010020190152	man
o010020190161	to
o010020190162	see
o010020190171	what?
o010020190181	will.he.call
o010020190191	(to)
o010020190192	it
o010020190201	and
o010020190202	all
o010020190211	that
o010020190221	he.called
o010020190231	(to)
o010020190232	it
o010020190241	the
o010020190242	man
o010020190251	a.creature
o010020190261	living
o010020190271	it
o010020190281	name
o010020190282	[was].its
o010020200011	and
o010020200012	he.called
o010020200021	the
o010020200022	man
o010020200031	names
o010020200041	to
o010020200042	all
o010020200051	the
o010020200052	livestock
o010020200061	and
o010020200062	to
o010020200063	the.bird[s]
o010020200071	of
o010020200072	the.heavens
o010020200081	and
o010020200082	to
o010020200083	every
o010020200091	(the).animal
o010020200101	of
o010020200102	the.field
o010020200111	and
o010020200112	for
o010020200113	Adam
o010020200121	not
o010020200131	he.found
o010020200141	a.helper
o010020200151	like
o010020200152	before
o010020200153	him
o010020210011	and
o010020210012	he.made.fall
o010020210021	Yahweh
o010020210031	God
o010020210041	a.deep.sleep
o010020210051	on
o010020210061	the
o010020210062	man
o010020210071	and
o010020210072	he.fell.asleep
o010020210081	and
o010020210082	he.took
o010020210091	one
o010020210101	of
o010020210102	ribs
o010020210103	his
o010020210111	and
o010020210112	he.closed.up
o010020210121	flesh
o010020210131	in
o010020210132	place.of.it
o010020220011	and
o010020220012	he.built
o010020220021	Yahweh
o010020220031	God
o010020220041	(et)
o010020220051	the
o010020220052	rib
o010020220061	which
o010020220071	he.had.taken
o010020220081	from
o010020220091	the
o010020220092	man
o010020220101	into
o010020220102	a.woman
o010020220111	and
o010020220112	he
o010020220113	brought.her
o010020220121	to
o010020220131	the
o010020220132	man
o010020230011	and
o010020230012	he.said
o010020230021	the
o010020230022	man
o010020230031	this.[one]
o010020230041	this
o010020230042	time
o010020230051	[is].bone
o010020230061	from
o010020230062	bones
o010020230063	my
o010020230071	and
o010020230072	flesh
o010020230081	from
o010020230082	flesh
o010020230083	my
o010020230091	to
o010020230092	this.[one]
o010020230101	it.will.be.called
o010020230111	woman
o010020230121	(dm)
o010020230131	from
o010020230132	a.man
o010020230141	she.was.taken
o010020230151	this.[one]
o010020240011	therefore
o010020240021	
o010020240031	he.leaves
o010020240041	a.man
o010020240051	(et)
o010020240061	father
o010020240062	his
o010020240071	and
o010020240072	(et)
o010020240081	mother
o010020240082	his
o010020240091	and
o010020240092	he.cleaves
o010020240101	to
o010020240102	wife
o010020240103	his
o010020240111	and
o010020240112	they.become
o010020240121	(into)
o010020240122	flesh
o010020240131	one
o010020250011	and
o010020250012	they.were
o010020250021	both
o010020250022	of.them
o010020250031	naked
o010020250041	the
o010020250042	man
o010020250051	and
o010020250052	wife
o010020250053	his
o010020250061	and
o010020250062	not
o010020250071	they.were.ashamed
o010030010011	and
o010030010012	the
o010030010013	snake
o010030010021	it.was
o010030010031	crafty
o010030010041	more
o010030010042	than.every
o010030010051	(the).animal
o010030010061	of
o010030010062	the.field
o010030010071	which
o010030010081	he.had.made
o010030010091	Yahweh
o010030010101	God
o010030010111	and
o010030010112	he.said
o010030010121	to
o010030010131	the
o010030010132	woman
o010030010141	indeed?
o010030010151	(dm)
o010030010161	did.he.say
o010030010171	God
o010030010181	not
o010030010191	you.must.eat
o010030010201	from
o010030010202	any
o010030010211	(the).tree
o010030010221	of
o010030010222	the.garden
o010030020011	and
o010030020012	she.said
o010030020021	the
o010030020022	woman
o010030020031	to
o010030020041	the
o010030020042	snake
o010030020051	from
o010030020052	the.fruit
o010030020061	of.the.tree[s]
o010030020071	of
o010030020072	the.garden
o010030020081	we.will.eat
o010030030011	and
o010030030012	from
o010030030013	the.fruit
o010030030021	of
o010030030022	the.tree
o010030030031	which
o010030030041	[is].in
o010030030042	the.middle
o010030030051	of
o010030030052	the.garden
o010030030061	he.said
o010030030071	God
o010030030081	not
o010030030091	you.must.eat
o010030030101	from
o010030030102	it
o010030030111	and
o010030030112	not
o010030030121	you.will.touch
o010030030131	(in)
o010030030132	it
o010030030141	lest
o010030030151	you
o010030030152	should.die
o010030040011	and
o010030040012	he.said
o010030040021	the
o010030040022	snake
o010030040031	to
o010030040041	the
o010030040042	woman
o010030040051	not
o010030040061	surely.(die)
o010030040071	you
o010030040072	will.die
o010030050011	(dm)
o010030050021	[is].knowing
o010030050031	God
o010030050041	(dm).that
o010030050051	on
o010030050052	the.day
o010030050061	eat
o010030050062	you
o010030050071	from
o010030050072	it
o010030050081	and
o010030050082	they.will.be.opened
o010030050091	eyes
o010030050092	your
o010030050101	and
o010030050102	you.will.be
o010030050111	like
o010030050112	God
o010030050121	[those.who].know
o010030050131	(of).good
o010030050141	and
o010030050142	evil
o010030060011	and
o010030060012	she.saw
o010030060021	the
o010030060022	woman
o010030060031	(dm).that
o010030060041	[was].good
o010030060051	the
o010030060052	tree
o010030060061	for
o010030060062	food
o010030060071	and.(dm)
o010030060072	that
o010030060081	[was].a.delight
o010030060091	it
o010030060101	to
o010030060101ה	the
o010030060102	eyes
o010030060111	and.[was]
o010030060112	desirable
o010030060121	the
o010030060122	tree
o010030060131	to
o010030060132	make.wise
o010030060141	and
o010030060142	she.took
o010030060151	some
o010030060152	of
o010030060153	its.fruit
o010030060161	and
o010030060162	she.ate
o010030060171	and
o010030060172	she.gave.[it]
o010030060181	also
o010030060191	to
o010030060192	husband
o010030060193	her
o010030060201	with
o010030060202	her
o010030060211	and
o010030060212	he.ate
o010030070011	and
o010030070012	they.were.opened
o010030070021	the.eyes
o010030070031	of
o010030070032	both.of.them
o010030070041	and
o010030070042	they.knew
o010030070051	(dm).that
o010030070061	[were].naked
o010030070071	they
o010030070081	and
o010030070082	they.sewed.together
o010030070091	leafage
o010030070101	of.a.fig.tree
o010030070111	and
o010030070112	they.made
o010030070121	for
o010030070122	themselves
o010030070131	loin.coverings
o010030080011	and
o010030080012	they.heard
o010030080021	(et)
o010030080031	the.sound
o010030080041	of.Yahweh
o010030080051	God
o010030080061	walking.about
o010030080071	in
o010030080071ה	the
o010030080072	garden
o010030080081	to
o010030080082	the.wind
o010030080091	of
o010030080092	the.day
o010030080101	and
